SKU,gramos/ml,nombre,categoria_general,categoria,precio,ingrediente_clave,país,url,categoria_normalizada,categoria_original
30692,200,Champú Cabello Graso - Camomila,Cabello,Champú,7.9,Camomila,España,https://nala.es/products/aceite-cabello-champu-manzanilla,,
30702,200,Mascarilla capilar - Coco,Cabello,Mascarilla,8.9,Coco,España,https://nala.es/products/mascarilla-capilar-coco,,
30798,200,Mascarilla Capilar Voluminizante y Brillante - Argán y Espirulina,Cabello,Mascarilla,8.9,Argán,España,https://nala.es/products/mascarilla-capilar-voluminizadora-argan-spirulina,,
64285,75,"Tónico Capilar Fortificante y Estimulante del Crecimiento - Cafeína, Pimienta Negra y Extracto de 7 Plantas",Cabello,Tónico Capilar,8.9,Cafeína,España,https://nala.es/products/fortificante-estimulante-crecimiento-cabello-tonico-cafeina-pimienta-negra-7-plantas-extracto,,
64307,200,"Champú Púrpura Cabello Rubio - Extracto Absoluto de Violeta, Extracto de Algas, Extracto de Lima",Cabello,Champú,7.9,Extracto Absoluto de Violeta,España,https://nala.es/products/champu-rubio-purpura-violeta-extracto-absoluto-extracto-de-algas-extracto-limon,,
64287,200,"Acondicionador Púrpura Cabello Rubio - Aceite de Coco, Romero y Hierba Limón",Cabello,Acondicionador,8.9,Coco,España,https://nala.es/products/acondicionador-purpura-pelo-rubio-aceite-de-coco-rosemary-lemongrass,,
70438,200,Acondicionador Hidratante - Jojoba y Rosas,Cabello,Acondicionador,8.9,Jojoba,España,https://nala.es/products/acondicionador-hidratante-joba-rosas,,
64288,200,"Mascarilla Morada Cabello Rubio - Aceite de Coco, Aceite de Romero, Aceite de Hierba Limón",Cabello,Mascarilla,6.9,Coco,España,https://nala.es/products/purple-mask-blonde-hair-coconut-oil-rosemary-oil-lemongrass-oil,,
70454,58,Champú sólido para cabello graso - Lemongrass,Cabello,Champu Solido,7.9,Lemongrass,España,https://nala.es/products/solid-shampoo-oily-hair-lemongrass,,
64308,200,"Champú Hidratante Intensivo - 50% Miel, Rosas, Azahar",Cabello,Champú,9.9,Miel,España,https://nala.es/products/champu-hidratante-intensivo-50-miel-rosas-flores-de-naranja,,
70471,200,"Acondicionador Volumen y Brillo - Jojoba, Espirulina, Azahar",Cabello,Acondicionador,9.9,Jojoba,España,https://nala.es/products/acondicionador-volumen-y-brillo-joba-espirulina-rosa-naranja,,
74293,200,"Acondicionador Hidratante Intensivo - Almendra, Salvia, Vainilla, Miel",Cabello,Acondicionador,7.9,Vainilla,España,https://nala.es/products/acondicionador-hidratante-intensivo-almendra-salvia-vainilla-miel,,
64422,200,"Champú protector para Cabello Teñido - Extracto de Arroz, Alcachofa, Proteínas de Guisante, Avena, Maíz, Soja y Trigo",Cabello,Champú,9.9,Extracto de Arroz,España,https://nala.es/products/champu-protector-para-cabello-tenido-extracto-de-arroz-alcachofa-proteinas-de-guisante-avena-maiz-soja-y-trigo,,
64423,200,"Bálsamo protector para Cabello Teñido - Extracto de Arroz, Alcachofa, Proteínas de Guisante, Avena, Maíz, Soja y Trigo",Cabello,Acondicionador,9.9,Extracto de Arroz,España,https://nala.es/products/balsamo-protector-para-cabello-tenido-extracto-de-arroz-alcachofa-proteinas-de-guisante-avena-maiz-soja-y-trigo,,
