SKU,gramos/ml,nombre,categoria_general,categoria,precio,ingrediente_clave,país,url,categoria_normalizada,categoria_original
30692,200.0,Șampon Păr Gras - MușețelAdaugă la .,Cabello,Champú,39.9,Manzanilla,Rumania,https://nala.ro/products/sampon-par-gras-musetel,Champú,Champú
64422,200.0,"Șampon protector Păr Vopsit - Extract Orez, Anghinare, Proteine Mazăre, Ovăz, Porumb, Soia și GrâuAdaugă la .",Cabello,Champú,29.9,Arroz,Rumania,https://nala.ro/products/sampon-protector-par-vopsit-extract-orez-anghinare-proteine-mazare-ovaz-porumb-soia-si-grau,Champú,Champú
70455,58.0,Șampon solid Păr Deteriorat - GardenieAdaugă la .,Cabello,Champu Solido,24.9,Gardenia,Rumania,https://nala.ro/products/sampon-solid-par-deteriorat-gardenie,Champú Sólido,Champu Solido
70454,58.0,Șampon solid Păr Gras - LămâițăAdaugă la .,Cabello,Champu Solido,24.9,Limoncillo,Rumania,https://nala.ro/products/sampon-solid-par-gras-lamaita,Champú Sólido,Champu Solido
70456,58.0,Șampon solid Scalp Sensibil - CăpșuniAdaugă la .,Cabello,Champu Solido,24.9,Fresa,Rumania,https://nala.ro/products/sampon-solid-scalp-sensibil-capsuni,Champú Sólido,Champu Solido
64240,200.0,"Șampon Stimulare și Fortifiere - Cafeină, Piper negru, Extract 7 planteAdaugă la .",Cabello,Champú,39.9,Cafeína,Rumania,https://nala.ro/products/sampon-stimulare-crestere-si-fortifiere-cafeina-piper-negru-extract-7-plante,Champú,Champú
64307,200.0,"Șampon Violet Păr Blond - Extract Absolut Violete, Alge Marine, Lămâie VerdeAdaugă la .",Cabello,Champú,49.9,Violeta,Rumania,https://nala.ro/products/sampon-violet-par-blond-extract-absolut-violete-alge-marine-lamaie-verde,Champú,Champú
70436,200.0,Șampon Volum și Strălucire - Sare de la Marea Moartă & SpirulinăAdaugă la .,Cabello,Champú,39.9,Espirulina,Rumania,https://nala.ro/products/sampon-volum-si-stralucire-sare-de-la-marea-moarta-spirulina,Champú,Champú
64287,200.0,"Balsam Păr Blond - Nucă de Cocos, Rozmarin, LămâițăAdaugă la .",Cabello,Acondicionador,39.9,Coco,Rumania,https://nala.ro/products/balsam-par-blond-ulei-nuca-de-cocos-ulei-rozmarin-ulei-lamaita,Acondicionador,Acondicionador
30700,200.0,Balsam Păr Gras - MușețelAdaugă la .,Cabello,Acondicionador,24.9,Manzanilla,Rumania,https://nala.ro/products/balsam-par-gras-musetel,Acondicionador,Acondicionador
70438,200.0,Balsam păr Hidratant Regenerant - Jojoba & TrandafiriAdaugă la .,Cabello,Acondicionador,29.9,Rosas,Rumania,https://nala.ro/products/balsam-par-hidratant-regenerant-jojoba-trandafiri,Acondicionador,Acondicionador
74293,200.0,"Balsam Păr Hidratare Intensă - Migdale, Salvie, Vanilie, MiereAdaugă la .",Cabello,Acondicionador,39.9,Almendras,Rumania,https://nala.ro/products/balsam-par-hidratare-intensa-ulei-migdale-salvie-vanilie-miere,Acondicionador,Acondicionador
70471,200.0,"Balsam Păr Volum & Strălucire - Jojoba, Spirulină, Flori PortocalAdaugă la .",Cabello,Acondicionador,29.9,Jojoba,Rumania,https://nala.ro/products/balsam-par-volum-stralucire-jojoba-spirulina-flori-portocal,Acondicionador,Acondicionador
64423,200.0,"Balsam protector Par Vopsit - Extract Orez, Anghinare, Proteine Mazare, Ovaz, Porumb, Soia si GrauAdaugă la .",Cabello,Acondicionador,29.9,Arroz,Rumania,https://nala.ro/products/balsam-protector-par-vopsit-extract-orez-anghinare-proteine-mazare-ovaz-porumb-soia-si-grau,Acondicionador,Acondicionador
30702,200.0,Mască Păr - Nucă de CocosAdaugă la .,Cabello,Mascarilla,29.9,Coco,Rumania,https://nala.ro/products/masca-par-nuca-de-cocos,Mascarilla Facial,Mascarilla
30798,200.0,Mască păr Volum și Strălucire - Argan & SpirulinăAdaugă la .,Cabello,Mascarilla,29.9,Espirulina,Rumania,https://nala.ro/products/masca-par-volum-si-stralucire-argan-spirulina,Mascarilla Facial,Mascarilla
